ЗАЩИТА БЕЗ ДОСПЕХОВ,"Если вы не носите доспехов, ваш Класс Доспеха равен 10 + модификатор Ловкости + модификатор Телосложения. Вы можете использовать щит, не теряя этого преимущества.",1,РН
ЯРОСТЬ,"В бою вы сражаетесь с первобытной свирепостью. В свой ход вы можете бонусным действием войти в состояние ярости.В состоянии ярости вы получаете следующие преимущества, если не носите тяжёлую броню: Вы совершаете с преимуществом проверки и спасброски Силы.Если вы совершаете рукопашную атаку оружием, используя Силу, вы получаете бонус к броску урона, соответствующий вашему уровню варвара, как показано в колонке «урон ярости» таблицы «Варвар».Вы получаете сопротивление дробящему, колющему и рубящему урону.Если вы способны накладывать заклинания, то вы не можете накладывать или концентрироваться на заклинаниях, пока находитесь в состоянии ярости.Ваша ярость длится 1 минуту. Она прекращается раньше, если вы потеряли сознание или если вы закончили ход, не получив урон или не атаковав враждебное по отношению к вам существо с момента окончания прошлого хода. Также вы можете прекратить свою ярость бонусным действием.Если вы впадали в состояние ярости максимальное для вашего уровня количество раз (смотрите колонку «ярость»), то вы должны совершить продолжительный отдых, прежде чем сможете использовать ярость еще раз.",1,РН
БЕЗРАССУДНАЯ АТАКА,"Вы способны отбросить любую заботу о защите, чтобы атаковать ожесточённо и безрассудно. Когда вы совершаете первую атаку в свой ход, вы можете решить, что будете атаковать безрассудно. Решившись на это, вы в этом ходу совершаете рукопашные атаки оружием, использующие Силу, с преимуществом, но все броски атаки по вам до вашего следующего хода тоже совершаются с преимуществом.",2,РН
ЧУВСТВО ОПАСНОСТИ,"Вы получаете обострённое ощущение происходящего вокруг, помогающее вам избегать опасности.Вы совершаете с преимуществом спасброски Ловкости от эффектов, которые вы можете видеть, такие как заклинания и ловушки. Для использования этого преимущества вы не должны быть ослеплены, оглушены и не должны быть недееспособны.",2,РН
ПУТЬ ДИКОСТИ,"Вы выбираете путь, определяющий природу вашей ярости. Все пути перечислены в конце описания класса. Ваш выбор обеспечит вам умения на 3-м, 6-м, 10-м и 14-м уровнях.",3,РН
Первобытное знание,"Когда вы достигаете 3-го и 10-го уровней, вы получаете владение дополнительным навыком по вашему выбору из списка навыков, доступных варвару на 1-м уровне.",3,ТСЕ
УВЕЛИЧЕНИЕ ХАРАКТЕРИСТИК,"При достижении 4-го, 8-го, 12-го, 16-го и 19-го уровней вы можете повысить значение одной из ваших характеристик на 2 или двух характеристик на 1. Как обычно, значение характеристики при этом не должно превысить 20.Если ваш Мастер разрешает использование черт, вы можете отказаться от преимуществ этого умения при повышении значений характеристик и вместо этого взять черту.",4,РН
БЫСТРОЕ ПЕРЕДВИЖЕНИЕ,"Ваша скорость увеличивается на 10 футов, если вы не носите тяжёлые доспехи.",5,РН
ДОПОЛНИТЕЛЬНАЯ АТАКА,"Если вы в свой ход совершаете действие Атака, вы можете совершить две атаки вместо одной.",5,РН
ДИКИЙ ИНСТИНКТ,"Ваши инстинкты настолько обостряются, что вы совершаете с преимуществом броски инициативы.Кроме того, если вы были захвачены врасплох в начале боя, и вы не являетесь недееспособным, вы можете в первом ходу действовать нормальным образом, но только если вы впадёте в ярость раньше всех других действий в этом ходу.",7,РН
Инстинктивный бросок,"Частью бонусного действия, которым вы входите в ярость, вы можете переместиться на расстояние до половины своей скорости.",7,ТСЕ
СИЛЬНЫЙ КРИТИЧЕСКИЙ УДАР,"Вы можете бросать одну дополнительную кость урона оружия, когда определяете дополнительный урон от критического попадания рукопашной атакой. Количество костей увеличивается до двух на 13-м уровне и трёх на 17-м уровне.",9,РН
НЕПРЕКЛОННАЯ ЯРОСТЬ,"Ваша ярость позволяет вам сражаться, несмотря на тяжелейшие раны. Если ваши хиты опускаются до 0, когда вы в состоянии ярости, и вы не , вы можете совершить спасбросок Телосложения Сл 10. При успехе ваши хиты опускаются всего лишь до 1 хита.Каждый раз, когда вы используете это умение повторно, Сл спасброска повышается на 5. Когда вы закончите короткий либо продолжительный отдых, Сл снова равняется 10.",11,РН
НЕПРЕРЫВНАЯ ЯРОСТЬ,"Ваша ярость становится настолько сильной, что досрочно прекращается, только если вы теряете сознание или сами прекращаете её.",15,РН
НЕУКРОТИМАЯ МОЩЬ,"Если результат вашей проверки Силы оказался меньше значения вашей Силы, то вы можете использовать значение характеристики вместо результата проверки.",18,РН
ДИКИЙ ЧЕМПИОН,Вы становитесь воплощением силы дикой природы. Значение ваших Силы и Телосложения увеличивается на 4. Максимальное значение для этих характеристик теперь 24.,20,РН
